numpoints, numtrials, dimension, avgWeight
5, 3, 0, 1.05096
10, 3, 0, 1.02105
15, 3, 0, 1.02915
20, 3, 0, 1.40114
5, 3, 2, 1.34352
10, 3, 2, 1.85177
15, 3, 2, 2.44043
20, 3, 2, 2.7952
5, 3, 3, 1.95157
10, 3, 3, 2.99027
15, 3, 3, 4.35337
20, 3, 3, 4.96223
5, 3, 4, 2.485
10, 3, 4, 4.02259
15, 3, 4, 5.57317
20, 3, 4, 6.79053
100, 1, 2, 5.58828
12, 1, 0, 0.498314
100, 1, 0, 1.09908
500, 1, 0, 1.12373
60, 1, 0, 1.09034
550, 1, 0, 1.15965
575, 1, 0, 1.27482
590, 1, 0, 1.18718
591, 1, 0, 1.19011
10, 1, 0, 1.09551
595, 1, 0, 1.22479
600, 1, 0, 1.15361
80, 1, 0, 1.30316
800, 1, 0, 1.1537
600, 1, 0, 1.08897
600, 1, 0, 1.25709
2, 1, 0, 0.651681
1000, 1, 0, 1.1484
1100, 1, 0, 1.15918
1100, 2, 0, 1.26283
1100, 2, 0, 1.16004
1100, 2, 0, 1.22798
3, 1, 0, 0.597128
3, 1, 0, 1.12586
10, 1, 0, 0.649869
100, 1, 0, 1.39545
1000, 1, 0, 1.25131
200, 2, 0, 1.15243
200, 4, 0, 1.1709
200, 5, 0, 1.20297
3, 1, 0, 0.914951
4, 1, 0, 1.7163
4, 2, 0, 1.28887
90, 1, 0, 44.2522
100, 1, 0, 52.022
500, 1, 0, 1.08779
1100, 1, 0, 1.19531
20, 1, 0, 4.4062
1, 1, 0, 0
3, 1, 0, 0.665969
5, 1, 0, 1.07606
10, 1, 0, 1.38965
20, 1, 0, 3.5556
50, 1, 0, 9.31485
100, 1, 0, 17.3424
500, 1, 0, 98.8067
100, 1, 0, 21.0123
100, 1, 0, 20.343
100, 1, 0, 21.2387
100, 1, 0, 18.7356
100, 1, 0, 18.3826
20, 1, 0, 3.69893
20, 1, 0, 4.12976
20, 1, 0, 1.11519
20, 1, 0, 1.2368
20, 1, 0, 0.954484
20, 1, 0, 0.99792
20, 1, 0, 1.14643
300, 1, 0, 1.17195
500, 1, 0, 1.2885
500, 1, 0, 1.21041
1000, 1, 0, 1.19386
1100, 1, 0, 1.20518
1200, 1, 0, 1.1855
5000, 1, 0, 1.19492
1300, 1, 0, 3.6391e-05
20000, 1, 0, 0.00992024
100000, 1, 0, 0.249398
20, 1, 0, 1.4605
20, 1, 0, 1.05688
20, 1, 0, 1.52622
20, 1, 0, 1.17104
20, 1, 0, 0.783138
20, 1, 0, 1.23165
20, 1, 0, 0.868001
20, 1, 0, 1.18653
20, 1, 0, 1.1964
20, 1, 0, 1.04579
20, 1, 0, 1.10759
20, 1, 0, 1.2865
20, 1, 0, 0.711723
20, 1, 0, 0.531079
20, 1, 0, 0.606806
20, 1, 0, 1.04864
20, 1, 0, 1.06609
20, 1, 0, 1.06609
20, 1, 0, 0.761111
20, 1, 0, 1.09326
20, 1, 0, 1.09326
20, 1, 0, 1.01582
20, 1, 0, 1.05193
20, 1, 0, 1.05193
20, 1, 0, 1.20982
20, 1, 0, 1.20982
20, 1, 0, 1.10417
20, 1, 0, 0.788464
20, 1, 0, 0.733441
20, 1, 0, 0.96551
20, 1, 0, 0.96551
20, 1, 0, 0.973112
5, 1, 0, 0.662255
5, 1, 0, 0.681189
5, 1, 0, 0.582219
5, 1, 0, 0.561067
99, 1, 0, 1.12279
50, 1, 0, 0.972807
50, 1, 0, 0.117034
50, 1, 0, 0.0820416
50, 1, 0, 0.0627986
50, 1, 0, 0.0835564
50, 1, 0, 1.49117
50, 1, 0, 1.17865
50, 1, 0, 1.17865
1000, 1, 0, 1.22831
1000, 1, 0, 1.25064
1000, 1, 0, 1.16622
5000, 1, 0, 1.16389
5000, 1, 0, 1.15244
5000, 1, 0, 1.16417
5000, 1, 0, 1.15477
5000, 1, 0, 1.16688
100000, 1, 0, 1.19908
4000, 1, 0, 1.21438
4999, 1, 0, 1.18889
9999, 1, 0, 1.19512
99999, 1, 0, 1.20362
100000, 1, 0, 0.250081
131072, 1, 0, 1.20288

STARTS RECORDING AVG LONGEST WEIGHT EDGE
20, 1, 0, 0
20, 1, 0, 0.185977
20, 1, 0, 0.198736
20, 1, 0, 0.22311
20, 1, 0, 0.215029
20, 1, 0, 0.149991
20, 1, 0, 0.16419
20, 1, 0, 0.200739

5, 10, 0, 0.370825
10, 10, 0, 0.252225
20, 50, 0, 0.18246
30, 10, 0, 0.143915
50, 50, 0, 0.0895509
80, 50, 0, 0.0648624
100, 50, 0, 0.0528344
200, 10, 0, 0.0281549
300, 10, 0, 0.0203563
400, 10, 0, 0.0166627
500, 10, 0, 0.0135778
600, 10, 0, 0.0124038
700, 10, 0, 0.0100784
800, 10, 0, 0.00949959
900, 10, 0, 0.0085353
1000, 10, 0, 0.00694955

5, 10, 2, 0.480712
10, 10, 2, 0.318849
20, 10, 2, 0.273012
30, 10, 2, 0.236813
50, 10, 2, 0.188901
80, 10, 2, 0.154883
100, 10, 2, 0.127648
200, 10, 2, 0.10115
300, 10, 2, 0.0857841
400, 10, 2, 0.0740073
500, 10, 2, 0.0695529
600, 10, 2, 0.0586914
700, 10, 2, 0.0599099
800, 10, 2, 0.0561396
900, 10, 2, 0.0543539
1000, 10, 2, 0.049221

5, 10, 3, 0.543357
10, 10, 3, 0.475282
20, 10, 3, 0.407408
30, 10, 3, 0.376431
50, 10, 3, 0.305492
80, 10, 3, 0.270558
100, 10, 3, 0.254208
200, 10, 3, 0.197437
300, 10, 3, 0.188513
400, 10, 3, 0.165079
500, 10, 3, 0.157885
600, 10, 3, 0.148355
700, 10, 3, 0.143674
800, 10, 3, 0.138165
900, 10, 3, 0.133045
1000, 10, 3, 0.127079

5, 10, 4, 0.754673
10, 10, 4, 0.635661
20, 10, 4, 0.524688
30, 10, 4, 0.481768
50, 10, 4, 0.403753
80, 10, 4, 0.373152
100, 10, 4, 0.36249
200, 10, 4, 0.302534
300, 10, 4, 0.269295
400, 10, 4, 0.263404
500, 10, 4, 0.250522
600, 10, 4, 0.235495
700, 10, 4, 0.222564
800, 10, 4, 0.22471
900, 10, 4, 0.219946
1000, 10, 4, 0.216732
20, 10, 0, 1.005
20, 1, 0, 1.5023
20, 1, 0, 1.06144
20, 1, 0, 1.17854
20, 1, 0, 0.954634
20, 1, 0, 0.954634
20, 1, 0, 0.954634
20, 1, 0, 1.03534
5, 1, 0, 0.562745
5, 1, 0, 0.60698
5, 1, 0, 0.60698
5, 1, 0, 0.961
5, 1, 0, 0.961
5, 1, 0, 0.961
5, 1, 0, 0.259331
5, 1, 0, 0.259331
5, 1, 0, 0.743265
5, 1, 0, 0.504969
5, 1, 0, 0.59882
5, 1, 0, 0.804065
7, 1, 0, 0.990983
7, 1, 0, 0.412673
7, 1, 0, 0.412673
7, 1, 0, 0.412673
20, 1, 0, 1.17853
20, 1, 0, 0.878656
20, 1, 0, 0.878656
20, 1, 0, 1.32902
20, 1, 2, 2.35799
20, 1, 2, 2.53061
20, 1, 2, 2.53061
20, 1, 2, 2.53061
20, 1, 2, 2.53061
20, 1, 3, 4.10228
20, 1, 3, 4.10228
20, 1, 3, 4.33362
20, 1, 3, 4.33362
20, 1, 4, 7.96957
20, 1, 4, 6.25533
20, 1, 4, 6.25533
20, 1, 4, 6.25533
20, 1, 4, 6.97727
100, 1, 4, 22.8055
100, 1, 0, 1.09401
100, 1, 0, 0.963952
100, 1, 0, 0.963952
1000, 1, 0, 1.14247
2000, 1, 0, 1.17823
5000, 1, 0, 1.2169
10000, 1, 0, 1.19428
50000, 1, 0, 1.20278
70000, 1, 0, 1.19225
50000, 1, 0, 1.20285
50000, 1, 0, 1.20228
100000, 1, 0, 1.16293
100000, 1, 2, 0.00100075
100000, 1, 2, 10.4557
100000, 1, 2, 179.723
131072, 1, 3, 268.921
20, 1, 0, 1.05264
131072, 1, 3, 1607.46
131072, 1, 4, 4728.14
65536, 1, 0, 1.03106
65536, 1, 2, 160.613
65536, 1, 3, 1058.3
65536, 1, 4, 2826.28
0.053016, 0, 10, 1, 0, 1.16401, 0.665101
6.34316e+06, 0, 262144, 1, 2, 331.271, 8.58901e+06
552001, 658, 262144, 1, 3, 2641.2, 3.91038e+06
